E        Trigger   eff
450           H1  0.993
450        H1+H2  0.648
450     H1+H2+H3  0.412
450  H1+H2+H3+H4  0.322
450               C1/(H1+H2+H3)  0.617
450          (C1+C2)/(H1+H2+H3)  0.583
450       (C1+C2+C3)/(H1+H2+H3)  0.547
450    (C1+C2+C3+C4)/(H1+H2+H3)  0.506


400           H1  0.995
400        H1+H2  0.635
400     H1+H2+H3  0.386
400  H1+H2+H3+H4  0.279
400               C1/(H1+H2+H3)  0.639
400          (C1+C2)/(H1+H2+H3)  0.612
400       (C1+C2+C3)/(H1+H2+H3)  0.576
400    (C1+C2+C3+C4)/(H1+H2+H3)  0.528

350           H1  0.994
350        H1+H2  0.628
350     H1+H2+H3  0.356
350  H1+H2+H3+H4  0.230
350               C1/(H1+H2+H3)  0.659
350          (C1+C2)/(H1+H2+H3)  0.624
350       (C1+C2+C3)/(H1+H2+H3)  0.579
350    (C1+C2+C3+C4)/(H1+H2+H3)  0.522


300           H1  0.992
300        H1+H2  0.608
300     H1+H2+H3  0.307
300  H1+H2+H3+H4  0.165
300               C1/(H1+H2+H3)  0.665
300          (C1+C2)/(H1+H2+H3)  0.628
300       (C1+C2+C3)/(H1+H2+H3)  0.583
300    (C1+C2+C3+C4)/(H1+H2+H3)  0.519

250           H1  0.992
250        H1+H2  0.572
250     H1+H2+H3  0.228
250  H1+H2+H3+H4  0.098
250               C1/(H1+H2+H3)  0.663
250          (C1+C2)/(H1+H2+H3)  0.629
250       (C1+C2+C3)/(H1+H2+H3)  0.582
250    (C1+C2+C3+C4)/(H1+H2+H3)  0.504

240           H1  0.992
240        H1+H2  0.560
240     H1+H2+H3  0.206
240  H1+H2+H3+H4  0.078
240               C1/(H1+H2+H3)  0.690
240          (C1+C2)/(H1+H2+H3)  0.660
240       (C1+C2+C3)/(H1+H2+H3)  0.596
240    (C1+C2+C3+C4)/(H1+H2+H3)  0.516

225           H1  0.989
225        H1+H2  0.548
225     H1+H2+H3  0.180
225  H1+H2+H3+H4  0.055
225               C1/(H1+H2+H3)  0.688
225          (C1+C2)/(H1+H2+H3)  0.660
225       (C1+C2+C3)/(H1+H2+H3)  0.615
225    (C1+C2+C3+C4)/(H1+H2+H3)  0.511
