  volume      E     dE     dx   dEdx initE  absL
   wbls1 381.08   3.11   1.00   3.12   450    20
   wbls2 376.34   3.13   1.00   3.15   450    20
   wbls3 371.51   3.16   1.00   3.17   450    20
   wbls4 366.77   3.17   1.00   3.18   450    20
cuvette1 379.92   2.53   0.44   5.82   450    20
cuvette2 375.02   2.58   0.44   5.88   450    20
cuvette3 370.21   2.53   0.43   5.89   450    20
cuvette4 365.56   2.52   0.43   5.93   450    20
      H1 447.89   1.49   0.50   2.99   450    20
      H2 385.12   1.60   0.50   3.20   450    20
      H3 368.20   1.64   0.50   3.28   450    20
      H4 366.86   1.65   0.50   3.30   450    20
      A1 449.36   0.61   0.20   3.04   450    20
      A2 449.05   0.59   0.20   2.97   450    20
absorber 386.72  61.03  20.01   3.05   450    20

   wbls1 326.32   3.37   1.00   3.38   400    20
   wbls2 321.20   3.39   1.00   3.40   400    20
   wbls3 316.07   3.41   1.00   3.42   400    20
   wbls4 310.88   3.44   1.00   3.45   400    20
cuvette1 325.11   2.63   0.42   6.30   400    20
cuvette2 319.92   2.56   0.41   6.36   400    20
cuvette3 314.76   2.60   0.41   6.42   400    20
cuvette4 309.74   2.60   0.41   6.43   400    20
      H1 397.78   1.57   0.50   3.13   400    20
      H2 330.66   1.73   0.50   3.47   400    20
      H3 312.37   1.79   0.50   3.59   400    20
      H4 310.99   1.79   0.50   3.58   400    20
      A1 399.34   0.62   0.20   3.11   400    20
      A2 398.98   0.63   0.20   3.17   400    20
absorber 332.40  65.23  20.01   3.26   400    20

   wbls1 269.87   3.73   1.00   3.75   350    20
   wbls2 264.17   3.78   1.00   3.80   350    20
   wbls3 258.38   3.83   1.00   3.84   350    20
   wbls4 252.61   3.85   0.99   3.87   350    20
cuvette1 268.54   2.82   0.41   6.99   350    20
cuvette2 262.69   2.93   0.42   7.06   350    20
cuvette3 256.97   2.98   0.43   7.17   350    20
cuvette4 251.14   3.05   0.43   7.26   350    20
      H1 347.61   1.69   0.50   3.38   350    20
      H2 274.67   1.92   0.50   3.84   350    20
      H3 253.63   2.01   0.50   4.03   350    20
      H4 252.32   2.01   0.50   4.04   350    20
      A1 349.29   0.67   0.20   3.35   350    20
      A2 348.92   0.68   0.20   3.38   350    20
absorber 276.60  70.87  20.01   3.54   350    20

   wbls1 210.46   4.33   1.00   4.35   300    20
   wbls2 203.73   4.43   1.00   4.45   300    20
   wbls3 196.96   4.52   1.00   4.54   300    20
   wbls4 190.08   4.61   0.99   4.65   300    20
cuvette1 208.95   2.51   0.40   8.05   300    20
cuvette2 202.11   2.40   0.40   8.21   300    20
cuvette3 195.37   2.37   0.41   8.34   300    20
cuvette4 188.62   2.46   0.42   8.51   300    20
      H1 297.44   1.83   0.50   3.67   300    20
      H2 216.02   2.22   0.50   4.43   300    20
      H3 191.42   2.38   0.50   4.77   300    20
      H4 190.87   2.39   0.50   4.79   300    20
      A1 299.23   0.73   0.20   3.66   300    20
      A2 298.82   0.74   0.20   3.69   300    20
absorber 218.25  79.03  20.01   3.95   300    20

   wbls1 144.61   5.55   1.00   5.57   250    20
   wbls2 135.86   5.76   1.00   5.79   250    20
   wbls3 126.88   6.01   0.99   6.06   250    20
   wbls4 117.54   6.32   0.99   6.39   250    20
cuvette1 142.64   2.65   0.41   9.54   250    20
cuvette2 133.81   2.79   0.40   9.66   250    20
cuvette3 124.73   2.87   0.40   9.78   250    20
cuvette4 115.38   3.07   0.41   9.77   250    20
      H1 247.19   2.04   0.50   4.08   250    20
      H2 151.68   2.79   0.50   5.59   250    20
      H3 118.92   3.31   0.50   6.67   250    20
      H4 118.85   3.34   0.50   6.71   250    20
      A1 249.14   0.81   0.20   4.07   250    20
      A2 248.70   0.82   0.20   4.08   250    20
absorber 154.48  92.52  20.01   4.63   250    20

   wbls1 129.85   5.94   1.00   5.97   240    20
   wbls2 120.46   6.25   1.00   6.28   240    20
   wbls3 110.64   6.61   0.99   6.68   240    20
   wbls4 100.09   7.10   0.99   7.18   240    20
cuvette1 127.80   2.80   0.39   9.79   240    20
cuvette2 118.37   2.95   0.38   9.84   240    20
cuvette3 108.30   3.18   0.41   0.00   240    20
cuvette4  97.86   3.39   0.41   9.97   240    20
      H1 237.08   2.09   0.50   4.18   240    20
      H2 137.42   2.99   0.50   5.98   240    20
      H3 101.35   3.73   0.50   7.51   240    20
      H4 102.40   3.76   0.50   7.48   240    20
      A1 239.11   0.84   0.20   4.19   240    20
      A2 238.67   0.84   0.20   4.19   240    20
absorber 140.42  96.37  20.01   4.82   240    20

   wbls1 106.10   6.87   1.00   6.90   225    20
   wbls2  95.03   7.39   1.00   7.44   225    20
   wbls3  83.28   8.05   0.99   8.16   225    20
   wbls4  69.79   8.94   0.98   9.11   225    20
cuvette1 103.85   3.21   0.38   0.00   225    20
cuvette2  92.81   3.48   0.37   0.00   225    20
cuvette3  80.63   3.83   0.39   9.70   225    20
cuvette4  67.12   4.35   0.42   0.00   225    20
      H1 221.98   2.18   0.50   4.36   225    20
      H2 114.88   3.36   0.50   6.74   225    20
      H3  70.84   4.97   0.50   8.27   225    20
      H4  75.60   4.90   0.50   7.45   225    20
      A1 224.09   0.87   0.20   4.33   225    20
      A2 223.59   0.88   0.20   4.39   225    20
absorber 118.26  99.21  20.01   5.18   225    20




