  volume      E     dE     dx   dEdx initE  absL
   wbls1 442.37   2.91   1.00   2.91   450     0
   wbls2 437.98   2.92   1.00   2.93   450     0
   wbls3 433.52   2.93   1.00   2.93   450     0
   wbls4 428.99   2.94   1.00   2.94   450     0
cuvette1 441.24   2.41   0.45   5.45   450     0
cuvette2 436.58   2.34   0.43   5.46   450     0
cuvette3 432.08   2.21   0.40   5.50   450     0
cuvette4 427.61   2.17   0.39   5.53   450     0
      H1 447.93   1.49   0.50   2.99   450     0
      H2 446.23   1.50   0.50   3.00   450     0
      H3 432.76   1.52   0.50   3.04   450     0
      H4 431.13   1.52   0.50   3.04   450     0
      A1 449.37   0.60   0.20   2.98   450     0
      A2 449.06   0.59   0.20   2.97   450     0
absorber   0.00   0.00   0.00   0.00   450     0

   wbls1 391.93   3.09   1.00   3.09   400     0
   wbls2 387.28   3.08   1.00   3.09   400     0
   wbls3 382.54   3.10   1.00   3.11   400     0
   wbls4 377.75   3.13   1.00   3.14   400     0
cuvette1 390.74   2.56   0.45   5.79   400     0
cuvette2 385.79   2.51   0.44   5.79   400     0
cuvette3 381.00   2.43   0.42   5.83   400     0
cuvette4 376.30   2.38   0.41   5.86   400     0
      H1 397.82   1.58   0.50   3.16   400     0
      H2 396.01   1.59   0.50   3.18   400     0
      H3 381.58   1.62   0.50   3.23   400     0
      H4 379.94   1.61   0.50   3.23   400     0
      A1 399.34   0.63   0.20   3.15   400     0
      A2 399.01   0.63   0.20   3.15   400     0
absorber   0.00   0.00   0.00   0.00   400     0

   wbls1 341.38   3.29   1.00   3.30   350     0
   wbls2 336.39   3.31   1.00   3.32   350     0
   wbls3 331.25   3.34   1.00   3.35   350     0
   wbls4 326.11   3.37   1.00   3.38   350     0
cuvette1 340.12   2.71   0.44   6.16   350     0
cuvette2 334.87   2.59   0.42   6.21   350     0
cuvette3 329.78   2.51   0.41   6.24   350     0
cuvette4 324.71   2.47   0.40   6.32   350     0
      H1 347.65   1.69   0.50   3.38   350     0
      H2 345.72   1.70   0.50   3.39   350     0
      H3 330.02   1.74   0.50   3.48   350     0
      H4 328.55   1.74   0.50   3.49   350     0
      A1 349.29   0.67   0.20   3.37   350     0
      A2 348.93   0.68   0.20   3.39   350     0
absorber   0.00   0.00   0.00   0.00   350     0

   wbls1 290.59   3.60   1.00   3.61   300     0
   wbls2 285.12   3.62   1.00   3.64   300     0
   wbls3 279.48   3.68   1.00   3.69   300     0
   wbls4 273.76   3.72   1.00   3.73   300     0
cuvette1 289.22   2.97   0.45   6.71   300     0
cuvette2 283.47   2.88   0.43   6.78   300     0
cuvette3 277.84   2.80   0.41   6.86   300     0
cuvette4 272.29   2.74   0.40   6.92   300     0
      H1 297.44   1.84   0.50   3.67   300     0
      H2 295.34   1.84   0.50   3.68   300     0
      H3 278.37   1.91   0.50   3.82   300     0
      H4 277.09   1.92   0.50   3.84   300     0
      A1 299.22   0.74   0.20   3.68   300     0
      A2 298.83   0.74   0.20   3.68   300     0
absorber   0.00   0.00   0.00   0.00   300     0

   wbls1 239.56   3.99   1.00   4.00   250     0
   wbls2 233.44   4.04   1.00   4.05   250     0
   wbls3 227.12   4.11   1.00   4.13   250     0
   wbls4 220.71   4.18   1.00   4.20   250     0
cuvette1 238.06   3.15   0.44   7.49   250     0
cuvette2 231.65   2.91   0.42   7.60   250     0
cuvette3 225.36   2.75   0.40   7.70   250     0
cuvette4 219.15   2.68   0.40   7.83   250     0
      H1 247.15   2.04   0.50   4.08   250     0
      H2 244.81   2.06   0.50   4.12   250     0
      H3 225.76   2.15   0.50   4.32   250     0
      H4 224.82   2.16   0.50   4.33   250     0
      A1 249.14   0.81   0.20   4.07   250     0
      A2 248.70   0.82   0.20   4.10   250     0
absorber   0.00   0.00   0.00   0.00   250     0

   wbls1 229.33   4.09   1.00   4.09   240     0
   wbls2 223.04   4.15   1.00   4.17   240     0
   wbls3 216.52   4.24   1.00   4.26   240     0
   wbls4 209.89   4.33   1.00   4.35   240     0
cuvette1 227.75   3.02   0.44   7.66   240     0
cuvette2 221.16   2.77   0.42   7.78   240     0
cuvette3 214.75   2.57   0.40   7.92   240     0
cuvette4 208.30   2.46   0.40   8.04   240     0
      H1 237.05   2.09   0.50   4.19   240     0
      H2 234.66   2.11   0.50   4.22   240     0
      H3 214.47   2.22   0.50   4.45   240     0
      H4 213.74   2.23   0.50   4.47   240     0
      A1 239.12   0.83   0.20   4.17   240     0
      A2 238.66   0.84   0.20   4.20   240     0
absorber   0.00   0.00   0.00   0.00   240     0

   wbls1 213.89   4.28   1.00   4.29   225     0
   wbls2 207.26   4.39   1.00   4.40   225     0
   wbls3 200.36   4.47   1.00   4.50   225     0
   wbls4 193.40   4.57   1.00   4.59   225     0
cuvette1 212.26   2.74   0.44   7.96   225     0
cuvette2 205.32   2.44   0.41   8.14   225     0
cuvette3 198.53   2.35   0.39   8.30   225     0
cuvette4 191.80   2.32   0.40   8.44   225     0
      H1 221.95   2.18   0.50   4.35   225     0
      H2 219.46   2.18   0.50   4.37   225     0
      H3 198.39   2.34   0.50   4.69   225     0
      H4 197.93   2.35   0.50   4.70   225     0
      A1 224.08   0.88   0.20   4.38   225     0
      A2 223.62   0.87   0.20   4.36   225     0
absorber   0.00   0.00   0.00   0.00   225     0
