  volume      E     dE     dx   dEdx initE  absL
   wbls1 412.32   3.00   1.00   3.01   450    10
   wbls2 407.75   3.01   1.00   3.02   450    10
   wbls3 403.07   3.02   1.00   3.03   450    10
   wbls4 398.45   3.04   1.00   3.05   450    10
cuvette1 411.18   2.49   0.45   5.61   450    10
cuvette2 406.43   2.49   0.44   5.68   450    10
cuvette3 401.87   2.46   0.43   5.73   450    10
cuvette4 397.43   2.44   0.43   5.74   450    10
      H1 447.89   1.50   0.50   3.00   450    10
      H2 416.26   1.54   0.50   3.08   450    10
      H3 400.87   1.57   0.50   3.14   450    10
      H4 399.43   1.58   0.50   3.16   450    10
      A1 449.36   0.60   0.20   3.02   450    10
      A2 449.04   0.60   0.20   2.99   450    10
absorber 417.81  29.92  10.00   2.99   450    10

   wbls1 359.82   3.21   1.00   3.22   400    10
   wbls2 354.94   3.22   1.00   3.23   400    10
   wbls3 350.03   3.24   1.00   3.25   400    10
   wbls4 345.12   3.27   1.00   3.29   400    10
cuvette1 358.61   2.63   0.44   6.00   400    10
cuvette2 353.61   2.58   0.43   6.03   400    10
cuvette3 348.74   2.62   0.43   6.08   400    10
cuvette4 343.93   2.66   0.44   6.14   400    10
      H1 397.77   1.58   0.50   3.16   400    10
      H2 364.01   1.65   0.50   3.31   400    10
      H3 347.35   1.69   0.50   3.39   400    10
      H4 345.80   1.69   0.50   3.38   400    10
      A1 399.33   0.63   0.20   3.17   400    10
      A2 398.99   0.63   0.20   3.16   400    10
absorber 365.67  31.92  10.00   3.19   400    10

   wbls1 306.83   3.46   1.00   3.47   350    10
   wbls2 301.49   3.51   1.00   3.52   350    10
   wbls3 296.15   3.53   1.00   3.54   350    10
   wbls4 290.78   3.58   1.00   3.59   350    10
cuvette1 305.56   2.77   0.43   6.51   350    10
cuvette2 300.15   2.69   0.41   6.58   350    10
cuvette3 294.86   2.75   0.42   6.64   350    10
cuvette4 289.62   2.80   0.42   6.69   350    10
      H1 347.62   1.69   0.50   3.39   350    10
      H2 311.38   1.79   0.50   3.57   350    10
      H3 292.99   1.85   0.50   3.71   350    10
      H4 292.02   1.85   0.50   3.71   350    10
      A1 349.28   0.68   0.20   3.39   350    10
      A2 348.90   0.68   0.20   3.39   350    10
absorber 313.17  34.26  10.00   3.43   350    10

   wbls1 252.29   3.86   1.00   3.88   300    10
   wbls2 246.38   3.90   1.00   3.93   300    10
   wbls3 240.36   3.96   1.00   3.98   300    10
   wbls4 234.32   4.03   1.00   4.05   300    10
cuvette1 250.90   3.05   0.43   7.27   300    10
cuvette2 244.85   3.08   0.44   7.35   300    10
cuvette3 238.94   2.99   0.42   7.46   300    10
cuvette4 233.05   2.92   0.42   7.56   300    10
      H1 297.40   1.84   0.50   3.68   300    10
      H2 257.37   2.00   0.50   4.01   300    10
      H3 236.40   2.10   0.50   4.20   300    10
      H4 235.28   2.11   0.50   4.21   300    10
      A1 299.22   0.74   0.20   3.69   300    10
      A2 298.82   0.74   0.20   3.68   300    10
absorber 259.38  37.81  10.00   3.78   300    10

   wbls1 195.87   4.54   1.00   4.56   250    10
   wbls2 188.83   4.64   1.00   4.66   250    10
   wbls3 181.67   4.74   1.00   4.76   250    10
   wbls4 174.44   4.84   0.99   4.88   250    10
cuvette1 194.24   2.38   0.43   8.40   250    10
cuvette2 187.13   2.31   0.42   8.53   250    10
cuvette3 180.15   2.34   0.41   8.70   250    10
cuvette4 173.01   2.46   0.41   8.90   250    10
      H1 247.15   2.04   0.50   4.08   250    10
      H2 201.77   2.32   0.50   4.63   250    10
      H3 176.51   2.50   0.50   5.02   250    10
      H4 176.07   2.51   0.50   5.03   250    10
      A1 249.14   0.82   0.20   4.11   250    10
      A2 248.70   0.81   0.20   4.07   250    10
absorber 204.10  42.82  10.01   4.28   250    10

   wbls1 184.13   4.70   1.00   4.73   240    10
   wbls2 176.82   4.82   1.00   4.83   240    10
   wbls3 169.39   4.95   1.00   4.98   240    10
   wbls4 161.86   5.09   1.00   5.12   240    10
cuvette1 182.44   2.35   0.42   8.67   240    10
cuvette2 175.08   2.37   0.42   8.84   240    10
cuvette3 167.73   2.43   0.42   9.00   240    10
cuvette4 160.32   2.50   0.42   9.17   240    10
      H1 237.07   2.09   0.50   4.18   240    10
      H2 190.23   2.41   0.50   4.82   240    10
      H3 164.23   2.62   0.50   5.28   240    10
      H4 164.11   2.64   0.50   5.30   240    10
      A1 239.12   0.83   0.20   4.17   240    10
      A2 238.67   0.84   0.20   4.18   240    10
absorber 192.65  44.18  10.01   4.42   240    10

   wbls1 166.17   4.99   1.00   5.02   225    10
   wbls2 158.29   5.17   1.00   5.20   225    10
   wbls3 150.16   5.37   0.99   5.42   225    10
   wbls4 141.84   5.57   0.99   5.63   225    10
cuvette1 164.37   2.45   0.42   9.09   225    10
cuvette2 156.47   2.53   0.41   9.28   225    10
cuvette3 148.50   2.64   0.41   9.44   225    10
cuvette4 140.29   2.77   0.42   9.56   225    10
      H1 221.97   2.18   0.50   4.36   225    10
      H2 172.64   2.53   0.50   5.07   225    10
      H3 143.98   2.89   0.50   5.82   225    10
      H4 144.37   2.90   0.50   5.81   225    10
      A1 224.08   0.87   0.20   4.35   225    10
      A2 223.63   0.86   0.20   4.32   225    10
absorber 175.18  46.54  10.01   4.65   225    10
