  volume      E     dE     dx   dEdx initE  absL
   wbls1  95.59   7.34   1.00   7.40   240    25
   wbls2  83.53   8.11   1.00   8.15   240    25
   wbls3  70.30   9.06   0.99   9.15   240    25
   wbls4  54.98  10.41   0.98  10.66   240    25
cuvette1  93.32   3.47   0.36   0.00   240    25
cuvette2  81.33   3.79   0.36   0.00   240    25
cuvette3  67.80   4.27   0.37   0.00   240    25
cuvette4  51.46   5.12   0.41   0.00   240    25
      H1 237.14   2.09   0.50   4.18   240    25
      H2 104.93   3.63   0.50   7.26   240    25
      H3  56.54   5.98   0.50   7.93   240    25
      H4  65.13   5.71   0.50   7.94   240    25
      A1 239.12   0.84   0.20   4.18   240    25
      A2 238.70   0.84   0.20   4.20   240    25
absorber 108.57   0.00  25.01   5.13   240    25

   wbls1 103.23   6.97   1.00   7.02   240    24
   wbls2  91.84   7.54   1.00   7.61   240    24
   wbls3  79.51   8.33   0.99   8.43   240    24
   wbls4  65.49   9.14   0.99   9.36   240    24
cuvette1 100.84   3.30   0.39   0.00   240    24
cuvette2  89.44   3.57   0.37   0.00   240    24
cuvette3  77.00   3.95   0.38   0.00   240    24
cuvette4  62.44   4.55   0.40   0.00   240    24
      H1 237.14   2.10   0.50   4.19   240    24
      H2 112.08   3.45   0.50   6.90   240    24
      H3  67.27   5.20   0.50   7.90   240    24
      H4  71.65   5.20   0.50   7.56   240    24
      A1 239.13   0.82   0.20   4.11   240    24
      A2 238.68   0.84   0.20   4.19   240    24
absorber 115.55   0.00  24.01   5.06   240    24

   wbls1 117.17   6.34   1.00   6.39   240    22
   wbls2 106.94   6.81   1.00   6.84   240    22
   wbls3  96.07   7.31   0.99   7.40   240    22
   wbls4  84.20   8.00   0.99   8.09   240    22
cuvette1 114.92   3.03   0.41   9.95   240    22
cuvette2 104.62   3.21   0.39   0.00   240    22
cuvette3  93.55   3.49   0.39   0.00   240    22
cuvette4  81.78   3.82   0.39   9.01   240    22
      H1 237.12   2.10   0.50   4.20   240    22
      H2 125.29   3.17   0.50   6.34   240    22
      H3  85.50   4.27   0.50   8.41   240    22
      H4  88.27   4.25   0.50   8.11   240    22
      A1 239.13   0.83   0.20   4.13   240    22
      A2 238.68   0.84   0.20   4.19   240    22
absorber 128.48   0.00  22.01   4.93   240    22

   wbls1 129.85   5.94   1.00   5.97   240    20
   wbls2 120.46   6.25   1.00   6.28   240    20
   wbls3 110.64   6.61   0.99   6.68   240    20
   wbls4 100.09   7.10   0.99   7.18   240    20
cuvette1 127.80   2.80   0.39   9.79   240    20
cuvette2 118.37   2.95   0.38   9.84   240    20
cuvette3 108.30   3.18   0.41   0.00   240    20
cuvette4  97.86   3.39   0.41   9.97   240    20
      H1 237.08   2.09   0.50   4.18   240    20
      H2 137.42   2.99   0.50   5.98   240    20
      H3 101.35   3.73   0.50   7.51   240    20
      H4 102.40   3.76   0.50   7.48   240    20
      A1 239.11   0.84   0.20   4.19   240    20
      A2 238.67   0.84   0.20   4.19   240    20
absorber 140.42  96.37  20.01   4.82   240    20

   wbls1 153.33   5.28   1.00   5.33   240    16
   wbls2 144.93   5.50   1.00   5.55   240    16
   wbls3 136.32   5.74   0.99   5.78   240    16
   wbls4 127.23   5.98   0.99   6.06   240    16
cuvette1 151.37   2.58   0.42   9.38   240    16
cuvette2 142.92   2.70   0.40   9.53   240    16
cuvette3 134.34   2.80   0.41   9.65   240    16
cuvette4 125.54   2.88   0.41   9.74   240    16
      H1 237.09   2.10   0.50   4.20   240    16
      H2 160.10   2.66   0.50   5.33   240    16
      H3 129.05   3.10   0.50   6.26   240    16
      H4 129.55   3.12   0.50   6.24   240    16
      A1 239.13   0.83   0.20   4.14   240    16
      A2 238.69   0.83   0.20   4.17   240    16
absorber 162.77  74.11  16.01   4.63   240    16

   wbls1 169.27   4.97   1.00   4.99   240    13
   wbls2 161.53   5.10   1.00   5.14   240    13
   wbls3 153.62   5.29   1.00   5.33   240    13
   wbls4 145.47   5.50   1.00   5.54   240    13
cuvette1 167.45   2.41   0.42   9.02   240    13
cuvette2 159.72   2.51   0.41   9.22   240    13
cuvette3 151.86   2.60   0.41   9.34   240    13
cuvette4 143.72   2.68   0.41   9.49   240    13
      H1 237.09   2.09   0.50   4.18   240    13
      H2 175.64   2.50   0.50   5.02   240    13
      H3 147.45   2.85   0.50   5.71   240    13
      H4 147.16   2.86   0.50   5.73   240    13
      A1 239.12   0.83   0.20   4.15   240    13
      A2 238.67   0.84   0.20   4.19   240    13
absorber 178.16  58.71  13.01   4.52   240    13

   wbls1 184.13   4.70   1.00   4.73   240    10
   wbls2 176.82   4.82   1.00   4.83   240    10
   wbls3 169.39   4.95   1.00   4.98   240    10
   wbls4 161.86   5.09   1.00   5.12   240    10
cuvette1 182.44   2.35   0.42   8.67   240    10
cuvette2 175.08   2.37   0.42   8.84   240    10
cuvette3 167.73   2.43   0.42   9.00   240    10
cuvette4 160.32   2.50   0.42   9.17   240    10
      H1 237.07   2.09   0.50   4.18   240    10
      H2 190.23   2.41   0.50   4.82   240    10
      H3 164.23   2.62   0.50   5.28   240    10
      H4 164.11   2.64   0.50   5.30   240    10
      A1 239.12   0.83   0.20   4.17   240    10
      A2 238.67   0.84   0.20   4.18   240    10
absorber 192.65  44.18  10.01   4.42   240    10

   wbls1 207.57   4.36   1.00   4.38   240     5
   wbls2 200.79   4.47   1.00   4.49   240     5
   wbls3 193.90   4.56   1.00   4.59   240     5
   wbls4 186.97   4.66   1.00   4.69   240     5
cuvette1 205.97   2.52   0.43   8.09   240     5
cuvette2 199.14   2.39   0.41   8.27   240     5
cuvette3 192.35   2.39   0.41   8.41   240     5
cuvette4 185.48   2.41   0.42   8.57   240     5
      H1 237.05   2.09   0.50   4.19   240     5
      H2 213.25   2.22   0.50   4.44   240     5
      H3 190.11   2.39   0.50   4.81   240     5
      H4 189.74   2.39   0.50   4.80   240     5
      A1 239.13   0.83   0.20   4.15   240     5
      A2 238.68   0.83   0.20   4.16   240     5
absorber 215.48  21.31   5.00   4.26   240     5

   wbls1 229.33   4.09   1.00   4.09   240     0
   wbls2 223.04   4.15   1.00   4.17   240     0
   wbls3 216.52   4.24   1.00   4.26   240     0
   wbls4 209.89   4.33   1.00   4.35   240     0
cuvette1 227.75   3.02   0.44   7.66   240     0
cuvette2 221.16   2.77   0.42   7.78   240     0
cuvette3 214.75   2.57   0.40   7.92   240     0
cuvette4 208.30   2.46   0.40   8.04   240     0
      H1 237.05   2.09   0.50   4.19   240     0
      H2 234.66   2.11   0.50   4.22   240     0
      H3 214.47   2.22   0.50   4.45   240     0
      H4 213.74   2.23   0.50   4.47   240     0
      A1 239.12   0.83   0.20   4.17   240     0
      A2 238.66   0.84   0.20   4.20   240     0
absorber   0.00   0.00   0.00   0.00   240     0
